country,month,index_param_comb,index_repetition,n_clusters,max_cluster_size,R,k,yearly_mutation_rate,mean_generation_interval,testing_proba,sequencing_proba
switzerland,04,09,1,4957,2500,0.9154513553060672,0.24708334418462308,14.143790064172213,5.2,0.9562855078755375,0.12875204265932744
switzerland,04,10,1,4957,2500,0.9336097619953991,0.18240655418689317,13.516668824176246,5.2,0.7765193285899906,0.12875204265932744
switzerland,04,11,1,4957,2500,0.9158991622329352,0.22159205532612197,13.892029017970426,5.2,0.8143921573431658,0.12875204265932744
switzerland,04,12,1,4957,2500,0.9309236246195786,0.1663132354969554,13.947674671357728,5.2,0.7739234030067915,0.12875204265932744
switzerland,04,13,1,4957,2500,0.9297927708010867,0.23169241923707756,13.608186890281978,5.2,0.9348568948922279,0.12875204265932744
switzerland,04,14,1,4957,2500,0.9961212334188775,0.17190408402382412,14.258183698877959,5.2,0.4767719995634485,0.12875204265932744
switzerland,04,15,1,4957,2500,0.8978600191841074,0.20773973475051882,13.491373272448778,5.2,0.8312603002480742,0.12875204265932744
switzerland,04,16,1,4957,2500,0.9049922123363655,0.2474596424924206,14.766688292193654,5.2,0.5097628723354294,0.12875204265932744
switzerland,04,17,1,4957,2500,0.9522342062990445,0.1869765960953645,13.997746724842063,5.2,0.5018245666109941,0.12875204265932744
switzerland,04,18,1,4957,2500,0.8970606105226598,0.2245813933634745,13.697852569090454,5.2,0.8322976445886588,0.12875204265932744
switzerland,04,19,1,4957,2500,0.9331016038004075,0.2263239222724338,14.610113102166626,5.2,0.7534081747588918,0.12875204265932744
switzerland,04,20,1,4957,2500,0.9448130671529804,0.30716436774663813,13.480587093395176,5.2,0.36077145081563183,0.12875204265932744
switzerland,04,21,1,4957,2500,0.9305177431967153,0.22226279702290555,13.033813444177536,5.2,0.8469078302515057,0.12875204265932744
switzerland,04,22,1,4957,2500,0.9172741620884269,0.27683648332782024,13.732808212347209,5.2,0.8900346385699323,0.12875204265932744
switzerland,04,23,1,4957,2500,0.9072272988534567,0.26289061773403566,13.680704748895865,5.2,0.781134861890193,0.12875204265932744
switzerland,04,24,1,4957,2500,0.9187462966958001,0.2363742698850941,14.599316461105456,5.2,0.7727570059169949,0.12875204265932744
switzerland,04,25,1,4957,2500,0.8925593625631085,0.184253587368745,14.380599555272305,5.2,0.9136239851444514,0.12875204265932744
switzerland,04,26,1,4957,2500,0.9155160308962594,0.23866602477729526,14.440574927093804,5.2,0.5642729959522984,0.12875204265932744
switzerland,04,27,1,4957,2500,0.9020398372578906,0.23908843724475043,14.069201692702157,5.2,0.8842994391033476,0.12875204265932744
switzerland,04,28,1,4957,2500,0.8899498657941616,0.2012571161899502,14.087593977894969,5.2,0.3986333747066015,0.12875204265932744
switzerland,04,29,1,4957,2500,0.9465720226025608,0.17337574737458633,13.135147372221551,5.2,0.7403286584371134,0.12875204265932744
switzerland,04,30,1,4957,2500,0.9257461066085153,0.22425487711657174,14.580311899644586,5.2,0.777780984350345,0.12875204265932744
switzerland,04,31,1,4957,2500,0.9402936280109951,0.22522302756384516,13.635294727444133,5.2,0.8055049321709136,0.12875204265932744
switzerland,04,32,1,4957,2500,0.9413767078641598,0.29417087036423306,12.810545219389333,5.2,0.6909698136422506,0.12875204265932744
switzerland,04,33,1,4957,2500,0.8946496773747106,0.17262599104627793,13.28750507566923,5.2,0.9240185262472469,0.12875204265932744
switzerland,04,34,1,4957,2500,0.9284509046337723,0.25750087961569335,13.647033284304344,5.2,0.9338638030168174,0.12875204265932744
switzerland,04,35,1,4957,2500,0.8771800677269275,0.19421084490339685,14.29410357033999,5.2,0.9674367476162024,0.12875204265932744
switzerland,04,36,1,4957,2500,0.9433802639810334,0.14491025857656645,13.565449108697257,5.2,0.4921152547639281,0.12875204265932744
switzerland,04,37,1,4957,2500,0.9625049004520123,0.22998039443392632,14.706079675836081,5.2,0.5612272468241178,0.12875204265932744
switzerland,04,38,1,4957,2500,0.9710383068758723,0.2187306855104082,13.782906999233917,5.2,0.9609719037502766,0.12875204265932744
switzerland,04,39,1,4957,2500,0.9214869473227675,0.19746573062863798,14.97608986140195,5.2,0.7564899815701438,0.12875204265932744
switzerland,04,40,1,4957,2500,0.9583134419642215,0.24249835772806744,13.827124389589697,5.2,0.5566542976359099,0.12875204265932744
switzerland,04,41,1,4957,2500,0.9599136275542998,0.22351488750538046,13.709089064427497,5.2,0.46816015891540175,0.12875204265932744
