country,region,source,data_type,estimate_type,date,median_R_mean,median_R_highHPD,median_R_lowHPD,countryIso3
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-27,0.7294480689093055,4.34562279965815,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-28,0.8325650643068474,2.7400340929863343,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-29,0.9688481149098248,2.646243825684399,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-06-30,1.1220384108521346,2.9529060248988883,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-01,1.271352294724088,3.833154644616338,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-02,1.3979884718159672,5.226157630473296,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-03,1.4876387959013877,5.110089228372772,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-04,1.5320670735046398,4.2990708003941265,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-05,1.5367993799251958,3.820028170132418,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-06,1.516725760233905,3.6201368386163058,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-07,1.4790373674389583,4.4888379632045385,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-08,1.4225462052266007,4.712009590864229,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-09,1.3465118238109994,4.600832093553931,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-10,1.2606609945724407,3.91149396485657,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-11,1.1802865548029922,3.4472663612591696,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-12,1.1191919211883488,2.9363366815638896,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-13,1.0849053062487422,2.396863036541789,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-14,1.0764981711027766,2.08006606540467,0.07293027680088304,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-15,1.0843712590863572,2.105001445890649,0.06374107228206549,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-16,1.0980575941176651,2.39855395003993,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-17,1.1163642679363153,2.6943657960133693,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-18,1.1454152125225925,2.7322004688225525,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-19,1.1929510226527693,2.5733714372748873,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-20,1.259560580623468,2.4495909906088444,0.06953017063809153,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-21,1.3387659571629738,2.4909856373320016,0.1865462769939457,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-22,1.4130533145809532,2.7960752373950513,0.03003139176685509,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-23,1.4658447842737554,3.1392539070471455,0,DNK
Denmark,DNK,OWID,Confirmed cases,Cori_slidingWindow,2020-07-24,1.4934501280062986,3.24364526418194,0,DNK
