size,month,frequency
65,11,1
70,11,1
74,11,1
75,11,1
81,11,1
82,11,1
84,11,1
130,11,1
135,11,1
137,11,1
157,11,1
170,11,1
172,11,1
193,11,1
283,11,1
1,12,30802
2,12,4163
3,12,1432
4,12,740
5,12,398
6,12,263
7,12,176
8,12,136
9,12,92
10,12,68
11,12,49
12,12,54
13,12,52
14,12,35
15,12,35
16,12,24
17,12,18
18,12,27
19,12,16
20,12,18
21,12,13
22,12,17
23,12,10
24,12,6
25,12,15
26,12,9
27,12,8
28,12,7
29,12,4
30,12,11
31,12,2
32,12,3
33,12,9
34,12,7
35,12,3
36,12,4
37,12,3
38,12,4
39,12,5
40,12,3
41,12,4
42,12,5
43,12,4
44,12,3
45,12,4
46,12,1
47,12,3
48,12,3
49,12,2
50,12,3
51,12,1
52,12,2
53,12,2
54,12,1
56,12,1
57,12,5
58,12,2
60,12,4
61,12,4
62,12,1
63,12,3
65,12,2
66,12,1
72,12,1
74,12,1
77,12,1
81,12,1
82,12,1
84,12,1
91,12,1
94,12,1
95,12,1
129,12,1
130,12,1
132,12,1
135,12,1
137,12,1
140,12,2
157,12,1
170,12,1
171,12,1
184,12,1
190,12,1
193,12,1
194,12,1
207,12,1
208,12,1
226,12,1
233,12,1
283,12,1
361,12,1
542,12,1
800,12,1
